gen,pop-id, pop-size, hetero., mean-phenotype, optimal-phenotype
375,p1,128,3.06253e-05,3.04457,10
376,p1,109,2.66787e-05,3.72377,10
377,p1,192,2.75736e-05,3.62277,10
378,p1,144,2.64588e-05,3.60405,10
379,p1,118,2.54841e-05,3.64463,10
380,p1,143,2.2662e-05,4.06837,10
381,p1,165,2.19877e-05,4.19487,10
382,p1,121,2.50826e-05,3.79727,10
383,p1,146,2.27672e-05,3.94387,10
384,p1,142,2.30252e-05,3.93281,10
385,p1,138,1.97495e-05,4.18046,10
386,p1,128,2.01093e-05,4.14519,10
387,p1,101,2.11989e-05,4.11852,10
388,p1,149,2.15159e-05,4.01845,10
389,p1,97,1.93039e-05,4.44537,10
390,p1,129,1.88781e-05,4.61253,10
391,p1,151,1.88253e-05,4.52582,10
392,p1,165,1.58334e-05,4.73908,10
393,p1,121,1.8607e-05,4.75298,10
394,p1,147,1.89983e-05,4.72007,10
395,p1,175,2.07296e-05,4.66397,10
396,p1,124,2.58812e-05,4.02885,10
397,p1,115,2.44329e-05,4.24185,10
398,p1,113,2.60866e-05,4.21174,10
399,p1,163,2.63405e-05,4.05476,10
400,p1,123,2.63362e-05,4.01803,10
401,p1,146,2.90509e-05,4.06962,10
402,p1,112,2.98055e-05,3.76327,10
403,p1,123,2.86896e-05,3.92197,10
404,p1,124,2.85594e-05,3.82399,10
405,p1,182,3.1861e-05,3.55539,10
406,p1,104,2.99367e-05,4.01956,10
407,p1,154,2.56266e-05,4.28657,10
408,p1,108,2.59525e-05,4.49609,10
409,p1,125,2.83645e-05,4.51455,10
410,p1,123,2.667e-05,4.55313,10
411,p1,133,2.60699e-05,4.46116,10
412,p1,137,2.49153e-05,4.36675,10
413,p1,93,2.53214e-05,4.66141,10
414,p1,98,2.61979e-05,4.51464,10
415,p1,143,2.65495e-05,4.38216,10
416,p1,144,2.88354e-05,4.19195,10
417,p1,145,4.02697e-05,3.76349,10
418,p1,115,3.24612e-05,3.84875,10
419,p1,144,3.0837e-05,3.81129,10
420,p1,126,3.21942e-05,4.04163,10
421,p1,124,3.15482e-05,3.46546,10
422,p1,147,3.05171e-05,3.47273,10
423,p1,84,2.93828e-05,3.22313,10
424,p1,155,2.76549e-05,3.43035,10
425,p1,122,2.47484e-05,3.12651,10
426,p1,104,2.84939e-05,2.85963,10
427,p1,174,2.62226e-05,2.68967,10
428,p1,129,2.40541e-05,2.58269,10
429,p1,161,2.86127e-05,2.68405,10
430,p1,136,2.84321e-05,3.29273,10
431,p1,136,3.08769e-05,2.67102,10
432,p1,183,2.81943e-05,2.86451,10
433,p1,130,2.83257e-05,2.85379,10
434,p1,126,3.01279e-05,3.47107,10
435,p1,190,2.89452e-05,3.04909,10
436,p1,106,2.91549e-05,3.71586,10
437,p1,158,3.10337e-05,3.49769,10
438,p1,155,3.06139e-05,4.03062,10
439,p1,147,2.74346e-05,5.12297,10
440,p1,146,2.87221e-05,5.08605,10
441,p1,171,2.82456e-05,5.83556,10
442,p1,171,2.76601e-05,5.77742,10
443,p1,207,2.17853e-05,7.31563,10
444,p1,266,1.75794e-05,8.18452,10
445,p1,341,1.67149e-05,8.79575,10
446,p1,456,1.32461e-05,9.32092,10
447,p1,794,1.24033e-05,9.47957,10
448,p1,1021,1.29239e-05,9.61034,10
449,p1,1111,1.22152e-05,9.63068,10
450,p1,1259,1.19826e-05,9.64863,10
451,p1,1134,1.12214e-05,9.66982,10
452,p1,1226,1.11863e-05,9.68039,10
453,p1,1285,1.07108e-05,9.68224,10
454,p1,1212,1.08345e-05,9.69035,10
455,p1,1251,9.22327e-06,9.71572,10
456,p1,1198,1.04722e-05,9.72411,10
457,p1,1228,9.47917e-06,9.72987,10
458,p1,1281,9.43987e-06,9.73586,10
459,p1,1239,9.15502e-06,9.75577,10
460,p1,1261,9.66126e-06,9.7572,10
461,p1,1194,1.00841e-05,9.77007,10
462,p1,1349,9.72976e-06,9.75339,10
463,p1,1239,1.02583e-05,9.77563,10
464,p1,1287,1.05642e-05,9.77053,10
465,p1,1127,1.07482e-05,9.76996,10
466,p1,1453,1.0599e-05,9.79036,10
467,p1,1131,1.09125e-05,9.77564,10
468,p1,1320,1.17638e-05,9.80216,10
469,p1,1219,1.1394e-05,9.8016,10
470,p1,1266,1.11633e-05,9.75216,10
471,p1,1173,1.15836e-05,9.78608,10
472,p1,1355,1.12803e-05,9.76865,10
473,p1,1254,1.19061e-05,9.76688,10
474,p1,1398,1.32378e-05,9.80179,10
475,p1,1168,1.25933e-05,9.78406,10
476,p1,1221,1.3109e-05,9.77299,10
477,p1,1344,1.40661e-05,9.81994,10
478,p1,1313,1.31849e-05,9.80879,10
479,p1,1240,1.37003e-05,9.8322,10
480,p1,1278,1.54227e-05,9.8622,10
481,p1,1478,1.60347e-05,9.84571,10
482,p1,1212,1.56282e-05,9.83302,10
483,p1,1256,1.63046e-05,9.81596,10
484,p1,1333,1.7177e-05,9.85985,10
485,p1,1215,1.7884e-05,9.86936,10
486,p1,1299,1.78244e-05,9.83716,10
487,p1,1242,1.72862e-05,9.86137,10
488,p1,1401,2.03458e-05,9.88001,10
489,p1,1330,2.0169e-05,9.9181,10
490,p1,1265,1.98426e-05,9.89649,10
491,p1,1264,2.0603e-05,9.90198,10
492,p1,1324,2.12434e-05,9.90532,10
493,p1,1308,2.17907e-05,9.92999,10
494,p1,1237,2.22316e-05,9.95129,10
495,p1,1335,2.23712e-05,9.93592,10
496,p1,1254,2.22098e-05,9.93353,10
497,p1,1374,2.42296e-05,9.94962,10
498,p1,1195,2.38668e-05,9.92486,10
499,p1,1279,2.33673e-05,9.93339,10
500,p1,1456,2.29636e-05,9.90393,10
501,p1,1238,2.37843e-05,9.91135,10
502,p1,1344,2.4282e-05,9.94943,10
503,p1,1336,2.43902e-05,9.95368,10
504,p1,1290,2.55783e-05,9.95982,10
505,p1,1500,2.4557e-05,9.95487,10
506,p1,1346,2.42269e-05,9.96462,10
507,p1,1202,2.42026e-05,9.96207,10
508,p1,1342,2.50382e-05,9.97556,10
509,p1,1260,2.3911e-05,9.92445,10
510,p1,1241,2.41113e-05,9.93598,10
511,p1,1320,2.48425e-05,9.9535,10
512,p1,1234,2.52417e-05,9.9471,10
513,p1,1244,2.58833e-05,9.94278,10
514,p1,1295,2.51214e-05,9.93433,10
515,p1,1228,2.5679e-05,9.93941,10
516,p1,1380,2.53744e-05,9.92077,10
517,p1,1286,2.58049e-05,9.94286,10
518,p1,1200,2.70155e-05,9.94993,10
519,p1,1166,2.69738e-05,9.95347,10
520,p1,1289,2.76678e-05,9.94832,10
521,p1,1385,2.65627e-05,9.92588,10
522,p1,1201,2.74307e-05,9.95018,10
523,p1,1259,2.74122e-05,9.95724,10
524,p1,1305,2.73832e-05,9.96458,10
525,p1,1328,2.67028e-05,9.95401,10
526,p1,1275,2.70477e-05,9.93674,10
527,p1,1251,2.78158e-05,9.95098,10
528,p1,1342,2.73739e-05,9.96806,10
529,p1,1309,2.75059e-05,9.97786,10
530,p1,1226,2.82621e-05,9.93297,10
531,p1,1391,2.86724e-05,9.96484,10
532,p1,1367,2.83474e-05,9.98857,10
533,p1,1307,2.83722e-05,9.95326,10
534,p1,1329,2.76517e-05,9.95878,10
535,p1,1197,2.71826e-05,9.93198,10
536,p1,1148,2.86468e-05,9.98879,10
537,p1,1382,2.76199e-05,9.99032,10
538,p1,1360,2.7464e-05,9.96873,10
539,p1,1150,2.8322e-05,9.96217,10
540,p1,1205,2.77607e-05,9.95249,10
541,p1,1285,2.77441e-05,9.95309,10
542,p1,1309,2.81761e-05,9.94147,10
543,p1,1285,2.74226e-05,9.93544,10
544,p1,1157,2.81575e-05,9.94482,10
545,p1,1359,2.89558e-05,9.9603,10
546,p1,1380,2.88638e-05,9.94685,10
547,p1,1230,2.65306e-05,9.92065,10
548,p1,1258,2.7967e-05,9.93239,10
549,p1,1349,2.77192e-05,9.91703,10
550,p1,1304,2.75534e-05,9.93919,10
551,p1,1267,2.72197e-05,9.94302,10
552,p1,1199,2.73555e-05,9.93588,10
553,p1,1405,2.83622e-05,9.94714,10
554,p1,1242,2.77579e-05,9.92569,10
555,p1,1298,2.78042e-05,9.94078,10
556,p1,1259,2.86044e-05,9.93558,10
557,p1,1368,2.91925e-05,9.9568,10
558,p1,1328,2.97236e-05,9.95179,10
559,p1,1325,2.90745e-05,9.94072,10
560,p1,1285,2.94039e-05,9.91087,10
561,p1,1359,3.06878e-05,9.9477,10
562,p1,1179,2.9802e-05,9.92375,10
563,p1,1211,3.03834e-05,9.93266,10
564,p1,1441,2.93797e-05,9.90407,10
565,p1,1288,2.98406e-05,9.9116,10
566,p1,1237,3.15244e-05,9.8959,10
567,p1,1193,2.8366e-05,9.90022,10
568,p1,1261,3.01644e-05,9.92021,10
569,p1,1225,2.9046e-05,9.93379,10
570,p1,1502,2.94169e-05,9.9342,10
571,p1,1320,3.07735e-05,9.93072,10
572,p1,1194,3.09523e-05,9.91855,10
573,p1,1394,3.10703e-05,9.94575,10
574,p1,1267,3.0234e-05,9.94306,10
575,p1,1240,2.91898e-05,9.95553,10
576,p1,1327,2.95556e-05,9.91995,10
577,p1,1124,3.11287e-05,9.93315,10
578,p1,1245,3.08024e-05,9.93379,10
579,p1,1316,3.01687e-05,9.93774,10
580,p1,1485,3.1328e-05,9.94622,10
581,p1,1237,3.0639e-05,9.93607,10
582,p1,1282,3.13585e-05,9.93573,10
583,p1,1274,3.12486e-05,9.93144,10
584,p1,1425,3.25424e-05,9.96867,10
585,p1,1229,3.16123e-05,9.93323,10
586,p1,1233,3.24138e-05,9.94813,10
587,p1,1353,3.20944e-05,9.94327,10
588,p1,1411,3.34341e-05,9.94696,10
589,p1,1238,3.19165e-05,9.96471,10
590,p1,1366,3.30247e-05,9.96374,10
591,p1,1327,3.48545e-05,9.96706,10
592,p1,1250,3.53275e-05,9.96952,10
593,p1,1353,3.51002e-05,9.9586,10
594,p1,1317,3.64205e-05,9.96001,10
595,p1,1320,3.64837e-05,9.97722,10
596,p1,1338,3.62497e-05,9.97924,10
597,p1,1301,3.71087e-05,9.95965,10
598,p1,1247,3.70223e-05,9.97145,10
599,p1,1431,3.75763e-05,9.98671,10
600,p1,1304,3.80902e-05,9.95834,10
601,p1,1424,3.8532e-05,9.96542,10
602,p1,1355,3.79633e-05,9.99327,10
603,p1,1141,3.65881e-05,9.96284,10
604,p1,1175,3.80408e-05,9.97531,10
605,p1,1366,3.84237e-05,9.96164,10
606,p1,1432,3.83971e-05,9.97016,10
607,p1,1397,3.84642e-05,10.0012,10
608,p1,1193,3.9457e-05,10.003,10
609,p1,1165,3.88913e-05,9.99584,10
610,p1,1271,3.93446e-05,10.0021,10
611,p1,1319,3.95796e-05,10.0126,10
